"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SSH21",1.64537617774652e-08,0.570391887267869,0.694,0.4,0.000332793785711012,"5","SSH2"
"IFNAR2",1.67982284602244e-08,0.763411595682765,0.299,0.122,0.0003397609688365,"5","IFNAR2"
"RAB18",1.71876830341341e-08,0.658958472119195,0.312,0.127,0.000347638077048396,"5","RAB18"
"TOMM61",1.73210666853845e-08,0.570779543983344,0.675,0.377,0.000350335894778586,"5","TOMM6"
"MCL11",1.75290236394172e-08,0.409210112167554,0.771,0.434,0.000354542032130852,"5","MCL1"
"EMC7",1.76952046172467e-08,0.603099746311703,0.35,0.15,0.000357903208588432,"5","EMC7"
"TAOK3",1.88242560391738e-08,1.02142390855297,0.51,0.258,0.00038073940264833,"5","TAOK3"
"PLSCR11",1.90948745962682e-08,0.769795935042277,0.293,0.12,0.000386212933584121,"5","PLSCR1"
"PFDN51",1.94924441152327e-08,0.303323302520257,0.994,0.902,0.000394254174674697,"5","PFDN5"
"ARF51",2.24997190801647e-08,0.626703667491175,0.503,0.251,0.000455079318115412,"5","ARF5"
"PSENEN",2.29894036246435e-08,0.736280825338386,0.306,0.124,0.000464983677712039,"5","PSENEN"
"NCOA2",2.30816925494236e-08,0.852970561432023,0.331,0.146,0.000466850313504642,"5","NCOA2"
"ERGIC1",2.34356668035603e-08,0.648765172750223,0.274,0.108,0.000474009796768811,"5","ERGIC1"
"HERPUD11",2.52451167540884e-08,0.661023437792791,0.395,0.182,0.000510607731468192,"5","HERPUD1"
"SFT2D1",2.9043853840978e-08,0.730415240597337,0.293,0.12,0.000587440987787621,"5","SFT2D1"
"LSM102",2.97537496868394e-08,0.597916556088162,0.408,0.186,0.000601799341166013,"5","LSM10"
"OGDH",3.21164001319327e-08,0.582837485110746,0.274,0.108,0.000649586309068471,"5","OGDH"
"PSMB6",3.29684780011517e-08,0.274545871817364,0.497,0.234,0.000666820436051294,"5","PSMB6"
"SLIRP",3.44320856679814e-08,0.40539422993496,0.28,0.11,0.000696423364720592,"5","SLIRP"
"REL1",3.61316159098296e-08,0.448427135213247,0.401,0.178,0.000730798063392213,"5","REL"
"MRPL21",3.78134977069326e-08,0.456119870047868,0.318,0.134,0.000764815804620418,"5","MRPL21"
"WBP2",4.09619592745372e-08,0.557440681084986,0.306,0.126,0.000828496588286789,"5","WBP2"
"MIEN1",4.31661636122204e-08,0.710859052816294,0.344,0.149,0.00087307882522077,"5","MIEN1"
"ETFA",4.32807915024787e-08,0.58939071581332,0.325,0.138,0.000875397288929134,"5","ETFA"
"ACO2",4.34947765708384e-08,0.656311894046046,0.268,0.105,0.000879725350921778,"5","ACO2"
"WDR1",4.40410459194733e-08,0.526291026493207,0.459,0.225,0.000890774194767266,"5","WDR1"
"MYDGF",4.41816516598334e-08,0.502963824994435,0.42,0.195,0.000893618086471791,"5","MYDGF"
"PPP2R3C",4.80134354544998e-08,0.495984875261472,0.274,0.109,0.000971119745502712,"5","PPP2R3C"
"ATP5PB",5.38282398744201e-08,0.463658243749388,0.605,0.327,0.00108872997970002,"5","ATP5PB"
"ATG71",5.62882574832085e-08,0.362764522807507,0.357,0.157,0.00113848629585537,"5","ATG7"
"MKRN1",6.01296458330984e-08,0.683232077327054,0.395,0.188,0.00121618221662025,"5","MKRN1"
"TMEM9B",6.61538109083513e-08,0.338483901969131,0.376,0.165,0.00133802697943231,"5","TMEM9B"
"TMEM134",6.86929155454041e-08,0.634666915540264,0.274,0.11,0.00138938290982134,"5","TMEM134"
"CD4",7.25110688190205e-08,0.634474521658942,0.268,0.109,0.00146660887793351,"5","CD4"
"NDUFA4",7.62179571999004e-08,0.451856185211895,0.745,0.485,0.00154158440232519,"5","NDUFA4"
"AKR1A1",7.86490848314326e-08,0.527595647091429,0.299,0.123,0.00159075638980056,"5","AKR1A1"
"CD522",7.99039848444282e-08,0.338014771590463,0.968,0.868,0.0016161379974634,"5","CD52"
"ARL4A",9.15696521543923e-08,0.669331714952619,0.306,0.135,0.00185208778447474,"5","ARL4A"
"HTATIP2",9.21724528708755e-08,0.574136344153996,0.268,0.107,0.00186428003176633,"5","HTATIP2"
"NDUFS71",9.2788206523028e-08,0.709903593479991,0.503,0.262,0.00187673426513476,"5","NDUFS7"
"CISD3",9.36753268697739e-08,0.349027379614738,0.274,0.108,0.00189467716126805,"5","CISD3"
"SLCO3A11",9.66168261480344e-08,0.671332942279662,0.318,0.138,0.00195417192567014,"5","SLCO3A1"
"BIN21",9.91036876388933e-08,0.257989359015212,0.694,0.374,0.00200447118618426,"5","BIN2"
"ENO11",1.16444279921818e-07,0.505413862058069,0.771,0.507,0.00235520200569869,"5","ENO1"
"PSMD9",1.17525697912698e-07,0.317483554972392,0.401,0.181,0.00237707476598222,"5","PSMD9"
"PRKAR1A",1.18571528828519e-07,0.510913556994627,0.331,0.143,0.00239822774208563,"5","PRKAR1A"
"JAML1",1.18886722921564e-07,0.446476222011513,0.535,0.272,0.00240460285781155,"5","JAML"
"SQOR",1.37474999327688e-07,0.750803256314389,0.287,0.124,0.00278056933640182,"5","SQOR"
"MT-ND31",1.38604962974226e-07,0.422091896877823,0.401,0.183,0.0028034239811167,"5","MT-ND3"
"PSMB81",1.40302594051564e-07,0.287573114418606,0.707,0.41,0.00283776026728693,"5","PSMB8"
"LMAN2",1.42826664474495e-07,0.323456427769567,0.471,0.23,0.00288881211566114,"5","LMAN2"
"RBCK1",1.56965659904888e-07,0.786566504903901,0.401,0.187,0.00317478743723626,"5","RBCK1"
"SNRPD3",1.74740957640031e-07,0.852240716217727,0.35,0.161,0.00353431060922728,"5","SNRPD3"
"RASGRP21",1.7587582802554e-07,0.347824367078153,0.459,0.231,0.00355726449764457,"5","RASGRP2"
"CYRIB",1.89730446345367e-07,0.346179187068048,0.707,0.396,0.0038374880077814,"5","CYRIB"
