"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"IFI44L",0.00413909720003676,0.392907394072224,0.25,0.144,1,"0","IFI44L"
"GMFG",0.00438047084344241,0.259078092857577,0.746,0.573,1,"0","GMFG"
"SSBP1",0.00445103740885198,0.471365373363556,0.305,0.199,1,"0","SSBP1"
"PNRC1",0.00445198533414611,0.653070887880289,0.632,0.493,1,"0","PNRC1"
"GIMAP4",0.00452710343678354,0.426276039881642,0.581,0.44,1,"0","GIMAP4"
"TUBA1A",0.00460333193365588,0.742513337903916,0.493,0.374,1,"0","TUBA1A"
"SRSF7",0.00461635521291462,0.519662047944524,0.566,0.432,1,"0","SRSF7"
"TRAT1",0.00465808147555918,0.440352540046871,0.357,0.235,1,"0","TRAT1"
"NDUFC2",0.00478410689053618,0.580069143945066,0.265,0.172,1,"0","NDUFC2"
"DUT",0.00508966709581016,0.398700575273243,0.305,0.191,1,"0","DUT"
"RASGRP2",0.00526721663927693,0.619730286575144,0.309,0.208,1,"0","RASGRP2"
"CALM2",0.0053323152211942,0.289619888095392,0.504,0.371,1,"0","CALM2"
"CYCS",0.00541438550284085,0.319591098748099,0.371,0.258,1,"0","CYCS"
"HSP90AA1",0.00545494910925284,0.401265199831865,0.54,0.421,1,"0","HSP90AA1"
"S100A10",0.0054701062562119,0.420737350081162,0.562,0.424,1,"0","S100A10"
"EIF4A1",0.0054846276133367,0.26256626341926,0.632,0.465,1,"0","EIF4A1"
"COX7A2L",0.00570249918520025,0.674147745054542,0.467,0.341,1,"0","COX7A2L"
